2883,Spider-Man 3,2007,USA,156,English,PG-13,336530303,258000000
2884,Spider-Man 3,2007,USA,156,English,PG-13,336530303,258000000
2885,St. Trinian's,2007,UK,100,English,PG-13,,13500000
2886,Stardust,2007,UK,127,English,PG-13,38345403,70000000
2887,Stomp the Yard,2007,USA,109,English,PG-13,61356221,14000000
2888,Sublime,2007,USA,113,English,R,,1800000
2889,Sunshine,2007,UK,107,English,R,3675072,26000000
2890,Superbad,2007,USA,119,English,R,121463226,20000000
2891,Surf's Up,2007,USA,85,English,PG,58867694,100000000
2892,Sydney White,2007,USA,108,English,PG-13,11702090,16500000
2893,Ta Ra Rum Pum,2007,USA,153,Hindi,,872643,6000000
2894,Taxi to the Dark Side,2007,USA,53,English,R,274661,1000000
2895,Teeth,2007,USA,94,English,R,347578,
2896,The Assassination of Jesse James by the Coward Robert Ford,2007,USA,160,English,R,3904982,30000000
2897,The Bourne Ultimatum,2007,USA,115,English,PG-13,227137090,110000000
2898,The Brothers Solomon,2007,USA,93,English,R,900926,10000000
2899,The Bucket List,2007,USA,97,English,PG-13,93452056,45000000
2900,The Color of Freedom,2007,Germany,118,English,R,,30000000
2901,The Death and Life of Bobby Z,2007,USA,97,English,R,,22000000
2902,The Diving Bell and the Butterfly,2007,France,112,French,PG-13,5990075,
2903,The Game Plan,2007,USA,110,English,PG,90636983,22000000
2904,The Golden Compass,2007,USA,113,English,PG-13,70083519,180000000
2905,The Good Night,2007,USA,93,English,R,20380,15000000
2906,The Great Debaters,2007,USA,126,English,PG-13,30226144,15000000
2907,The Hammer,2007,USA,88,English,R,442638,850000
2908,The Hills Have Eyes II,2007,USA,89,English,R,20801344,15000000
2909,The Hunting Party,2007,USA,101,English,R,876671,25000000
2910,The Invasion,2007,USA,99,English,PG-13,15071514,80000000
2911,The Kingdom,2007,USA,110,English,R,47456450,70000000
2912,The Kite Runner,2007,USA,128,Dari,PG-13,15797907,20000000
2913,The Last Legion,2007,UK,102,English,PG-13,5932060,35000000
2914,The Last Sin Eater,2007,USA,117,English,PG-13,379643,2200000
